Commodity_Description,Year,Attribute_Description,Country_Code,Country_Name,Value,Unit_Description
"Coffee, Green",1998,Domestic Consumption,NU,Nicaragua,40500000000,(MT)
"Coffee, Green",1998,Domestic Consumption,PA,Paraguay,147291960000,(MT)
"Coffee, Green",1998,Domestic Consumption,PE,Peru,142809900000,(MT)
"Coffee, Green",1998,Domestic Consumption,PN,Panama,41322000000,(MT)
"Coffee, Green",1998,Domestic Consumption,PP,Papua New Guinea,8506920000,(MT)
"Coffee, Green",1998,Domestic Consumption,RH,Zimbabwe,912420000,(MT)
"Coffee, Green",1998,Domestic Consumption,RP,Philippines,4200000000,(MT)
"Coffee, Green",1998,Domestic Consumption,RW,Rwanda,1800000,(MT)
"Coffee, Green",1998,Domestic Consumption,TD,Trinidad and Tobago,300000,(MT)
"Coffee, Green",1998,Domestic Consumption,TH,Thailand,359220000,(MT)
"Coffee, Green",1998,Domestic Consumption,TO,Togo,3600000,(MT)
"Coffee, Green",1998,Domestic Consumption,TZ,Tanzania,12000000,(MT)
"Coffee, Green",1998,Domestic Consumption,TZ,"Tanzania, United Republic of",44520000,(MT)
"Coffee, Green",1998,Domestic Consumption,UG,Uganda,108660000,(MT)
"Coffee, Green",1998,Domestic Consumption,US,United States,300000,(MT)
"Coffee, Green",1998,Domestic Consumption,VE,Venezuela,660,(MT)
"Coffee, Green",1998,Domestic Consumption,VM,Vietnam,8700000,(MT)
"Coffee, Green",1998,Domestic Consumption,YM,Yemen,44820000,(MT)
"Coffee, Green",1998,Domestic Consumption,ZA,Zambia,75000000,(MT)
"Coffee, Green",1998,Exports,AO,Angola,1486860,(MT)
"Coffee, Green",1998,Exports,BL,Bolivia,1800000,(MT)
"Coffee, Green",1998,Exports,BR,Brazil,78962100,(MT)
"Coffee, Green",1998,Exports,BY,Burundi,20040000,(MT)
"Coffee, Green",1998,Exports,CE,Sri Lanka,88500000,(MT)
"Coffee, Green",1998,Exports,CF,Congo (Brazzaville),1168843200,(MT)
"Coffee, Green",1998,Exports,CG,Congo (Kinshasa),322680000,(MT)
"Coffee, Green",1998,Exports,CG,"Congo, Democratic Rep of the",52800000,(MT)
"Coffee, Green",1998,Exports,CM,Cameroon,47426040,(MT)
"Coffee, Green",1998,Exports,CO,Colombia,60600000,(MT)
"Coffee, Green",1998,Exports,CS,Costa Rica,29400000,(MT)
"Coffee, Green",1998,Exports,CT,Central African Republic,50872980,(MT)
"Coffee, Green",1998,Exports,CU,Cuba,30420000,(MT)
"Coffee, Green",1998,Exports,DR,Dominican Republic,31643040,(MT)
"Coffee, Green",1998,Exports,EC,Ecuador,97020000,(MT)
"Coffee, Green",1998,Exports,EK,Equatorial Guinea,40500000,(MT)
"Coffee, Green",1998,Exports,ES,El Salvador,85464000,(MT)
"Coffee, Green",1998,Exports,ET,Ethiopia,55944000,(MT)
"Coffee, Green",1998,Exports,GB,Gabon,12150000,(MT)
"Coffee, Green",1998,Exports,GH,Ghana,316963440,(MT)
"Coffee, Green",1998,Exports,GT,Guatemala,1147380000,(MT)
"Coffee, Green",1998,Exports,GU,Guinea,1486860000,(MT)
"Coffee, Green",1998,Exports,GY,Guyana,2442000000,(MT)
"Coffee, Green",1998,Exports,HA,Haiti,79673580000,(MT)
"Coffee, Green",1998,Exports,HO,Honduras,15618000000,(MT)
"Coffee, Green",1998,Exports,ID,Indonesia,8400000000,(MT)
"Coffee, Green",1998,Exports,IN,India,38971380000,(MT)
"Coffee, Green",1998,Exports,IV,Cote d'Ivoire,135780000,(MT)
"Coffee, Green",1998,Exports,JM,Jamaica,960000,(MT)
"Coffee, Green",1998,Exports,JM,Jamaica & Dep,38602800000,(MT)
"Coffee, Green",1998,Exports,JM,Jamaica and Dep,159360000,(MT)
"Coffee, Green",1998,Exports,KE,Kenya,1168843200000,(MT)
"Coffee, Green",1998,Exports,LA,Laos,55038000000,(MT)
"Coffee, Green",1998,Exports,LI,Liberia,118800000000,(MT)
"Coffee, Green",1998,Exports,MA,Madagascar,132000000000,(MT)
"Coffee, Green",1998,Exports,MI,Malawi,135780000000,(MT)
"Coffee, Green",1998,Exports,MX,Mexico,44576640000,(MT)
"Coffee, Green",1998,Exports,MY,Malaysia,21434640000,(MT)
"Coffee, Green",1998,Exports,NC,New Caledonia,101220000000,(MT)
"Coffee, Green",1998,Exports,NI,Nigeria,74964000000,(MT)
"Coffee, Green",1998,Exports,NU,Nicaragua,38400000000,(MT)
"Coffee, Green",1998,Exports,PA,Paraguay,147000000000,(MT)
"Coffee, Green",1998,Exports,PE,Peru,39987240000,(MT)
"Coffee, Green",1998,Exports,PN,Panama,40500000000,(MT)
"Coffee, Green",1998,Exports,PP,Papua New Guinea,8881260000,(MT)
"Coffee, Green",1998,Exports,RH,Zimbabwe,71100000,(MT)
"Coffee, Green",1998,Exports,RP,Philippines,24757800000,(MT)
"Coffee, Green",1998,Exports,RW,Rwanda,14400000,(MT)
"Coffee, Green",1998,Exports,SL,Sierra Leone,51000000,(MT)
"Coffee, Green",1998,Exports,TD,Trinidad and Tobago,180000,(MT)
"Coffee, Green",1998,Exports,TH,Thailand,254460000,(MT)
"Coffee, Green",1998,Exports,TO,Togo,410100000,(MT)
"Coffee, Green",1998,Exports,TZ,Tanzania,18480000,(MT)
"Coffee, Green",1998,Exports,TZ,"Tanzania, United Republic of",5100000,(MT)
"Coffee, Green",1998,Exports,UG,Uganda,108660000,(MT)
"Coffee, Green",1998,Exports,US,United States,5160000,(MT)
"Coffee, Green",1998,Exports,VE,Venezuela,3600000,(MT)
"Coffee, Green",1998,Exports,VM,Vietnam,25500000,(MT)
"Coffee, Green",1998,Exports,YM,Yemen,6900000,(MT)
"Coffee, Green",1998,Exports,ZA,Zambia,605160000,(MT)
"Coffee, Green",1998,Imports,AO,Angola,1147380,(MT)
"Coffee, Green",1998,Imports,BL,Bolivia,4218000,(MT)
"Coffee, Green",1998,Imports,BR,Brazil,78962100,(MT)
"Coffee, Green",1998,Imports,BY,Burundi,20040000,(MT)
"Coffee, Green",1998,Imports,CE,Sri Lanka,6000000,(MT)
"Coffee, Green",1998,Imports,CF,Congo (Brazzaville),1170463200,(MT)
"Coffee, Green",1998,Imports,CG,Congo (Kinshasa),7020000,(MT)
"Coffee, Green",1998,Imports,CG,"Congo, Democratic Rep of the",107634000,(MT)
"Coffee, Green",1998,Imports,CM,Cameroon,24823800,(MT)
"Coffee, Green",1998,Imports,CO,Colombia,67021200,(MT)
"Coffee, Green",1998,Imports,CS,Costa Rica,16320000,(MT)
"Coffee, Green",1998,Imports,CT,Central African Republic,22102800,(MT)
"Coffee, Green",1998,Imports,CU,Cuba,44576640,(MT)
"Coffee, Green",1998,Imports,DR,Dominican Republic,31648740,(MT)
"Coffee, Green",1998,Imports,EC,Ecuador,101220000,(MT)
"Coffee, Green",1998,Imports,EK,Equatorial Guinea,41322000,(MT)
"Coffee, Green",1998,Imports,ES,El Salvador,52500000,(MT)
"Coffee, Green",1998,Imports,ET,Ethiopia,55944000,(MT)
"Coffee, Green",1998,Imports,GB,Gabon,147000000,(MT)
"Coffee, Green",1998,Imports,GH,Ghana,39987240,(MT)
"Coffee, Green",1998,Imports,GT,Guatemala,120000000,(MT)
"Coffee, Green",1998,Imports,GU,Guinea,1776000000,(MT)
"Coffee, Green",1998,Imports,GY,Guyana,4681020000,(MT)
"Coffee, Green",1998,Imports,HA,Haiti,49079880000,(MT)
"Coffee, Green",1998,Imports,HO,Honduras,26538000000,(MT)
"Coffee, Green",1998,Imports,ID,Indonesia,46885800000,(MT)
"Coffee, Green",1998,Imports,IN,India,38971380000,(MT)
"Coffee, Green",1998,Imports,IV,Cote d'Ivoire,52761000,(MT)
"Coffee, Green",1998,Imports,JM,Jamaica,8580000,(MT)
"Coffee, Green",1998,Imports,JM,Jamaica & Dep,60000000000,(MT)
"Coffee, Green",1998,Imports,JM,Jamaica and Dep,312540000,(MT)
"Coffee, Green",1998,Imports,KE,Kenya,1170463200000,(MT)
"Coffee, Green",1998,Imports,LA,Laos,105942000000,(MT)
"Coffee, Green",1998,Imports,LI,Liberia,157261260000,(MT)
"Coffee, Green",1998,Imports,MA,Madagascar,31200000000,(MT)
"Coffee, Green",1998,Imports,MI,Malawi,134580000000,(MT)
"Coffee, Green",1998,Imports,MX,Mexico,44576640000,(MT)
"Coffee, Green",1998,Imports,MY,Malaysia,27420000000,(MT)
"Coffee, Green",1998,Imports,NC,New Caledonia,102438000000,(MT)
"Coffee, Green",1998,Imports,NI,Nigeria,85464000000,(MT)
"Coffee, Green",1998,Imports,NU,Nicaragua,10500000000,(MT)
"Coffee, Green",1998,Imports,PA,Paraguay,868860000,(MT)
"Coffee, Green",1998,Imports,PE,Peru,118387740000,(MT)
"Coffee, Green",1998,Imports,PN,Panama,43296000000,(MT)
"Coffee, Green",1998,Imports,PP,Papua New Guinea,9482700000,(MT)
"Coffee, Green",1998,Imports,RH,Zimbabwe,4200000,(MT)
"Coffee, Green",1998,Imports,RP,Philippines,9918000000,(MT)
"Coffee, Green",1998,Imports,RW,Rwanda,60000,(MT)
"Coffee, Green",1998,Imports,SL,Sierra Leone,1800000,(MT)
"Coffee, Green",1998,Imports,TD,Trinidad and Tobago,420000,(MT)
"Coffee, Green",1998,Imports,TH,Thailand,51300000,(MT)
"Coffee, Green",1998,Imports,TO,Togo,410100000,(MT)
"Coffee, Green",1998,Imports,TZ,Tanzania,18480000,(MT)
"Coffee, Green",1998,Imports,TZ,"Tanzania, United Republic of",4200000,(MT)
"Coffee, Green",1998,Imports,UG,Uganda,103380000,(MT)
"Coffee, Green",1998,Imports,VE,Venezuela,3600000,(MT)
"Coffee, Green",1998,Imports,VM,Vietnam,4140000,(MT)
"Coffee, Green",1998,Imports,YM,Yemen,18600000,(MT)
"Coffee, Green",1998,Imports,ZA,Zambia,680160000,(MT)
"Coffee, Green",1998,Production,AO,Angola,1355580,(MT)
"Coffee, Green",1998,Production,BL,Bolivia,4218000,(MT)
"Coffee, Green",1998,Production,BR,Brazil,49079880,(MT)
"Coffee, Green",1998,Production,BY,Burundi,20040000,(MT)
"Coffee, Green",1998,Production,CE,Sri Lanka,45300000,(MT)
"Coffee, Green",1998,Production,CF,Congo (Brazzaville),6681960,(MT)
"Coffee, Green",1998,Production,CG,Congo (Kinshasa),322680000,(MT)
"Coffee, Green",1998,Production,CG,"Congo, Democratic Rep of the",118800000,(MT)
"Coffee, Green",1998,Production,CM,Cameroon,46885800,(MT)
"Coffee, Green",1998,Production,CO,Colombia,60612180,(MT)
"Coffee, Green",1998,Production,CS,Costa Rica,17520000,(MT)
"Coffee, Green",1998,Production,CT,Central African Republic,50872980,(MT)
"Coffee, Green",1998,Production,CU,Cuba,27420000,(MT)
"Coffee, Green",1998,Production,DR,Dominican Republic,31648740,(MT)
"Coffee, Green",1998,Production,EC,Ecuador,102438000,(MT)
"Coffee, Green",1998,Production,EK,Equatorial Guinea,40500000,(MT)
"Coffee, Green",1998,Production,ES,El Salvador,85464000,(MT)
"Coffee, Green",1998,Production,ET,Ethiopia,43296000,(MT)
"Coffee, Green",1998,Production,GB,Gabon,147291960,(MT)
"Coffee, Green",1998,Production,GH,Ghana,316963440,(MT)
"Coffee, Green",1998,Production,GT,Guatemala,840000000,(MT)
"Coffee, Green",1998,Production,GU,Guinea,492000000,(MT)
"Coffee, Green",1998,Production,GY,Guyana,900000000,(MT)
"Coffee, Green",1998,Production,HA,Haiti,19810320000,(MT)
"Coffee, Green",1998,Production,HO,Honduras,20040000000,(MT)
"Coffee, Green",1998,Production,ID,Indonesia,4140000000,(MT)
"Coffee, Green",1998,Production,IN,India,25034760000,(MT)
"Coffee, Green",1998,Production,IV,Cote d'Ivoire,47574000,(MT)
"Coffee, Green",1998,Production,JM,Jamaica,7500000,(MT)
"Coffee, Green",1998,Production,JM,Jamaica & Dep,31320000000,(MT)
"Coffee, Green",1998,Production,JM,Jamaica and Dep,180000000,(MT)
"Coffee, Green",1998,Production,KE,Kenya,1170463200000,(MT)
"Coffee, Green",1998,Production,LA,Laos,37836000000,(MT)
"Coffee, Green",1998,Production,LI,Liberia,157261260000,(MT)
"Coffee, Green",1998,Production,MA,Madagascar,29400000000,(MT)
"Coffee, Green",1998,Production,MI,Malawi,47574000000,(MT)
"Coffee, Green",1998,Production,MX,Mexico,31643040000,(MT)
"Coffee, Green",1998,Production,MY,Malaysia,30237900000,(MT)
"Coffee, Green",1998,Production,NC,New Caledonia,97020000000,(MT)
"Coffee, Green",1998,Production,NI,Nigeria,22464000000,(MT)
"Coffee, Green",1998,Production,NU,Nicaragua,52500000000,(MT)
"Coffee, Green",1998,Production,PA,Paraguay,147000000000,(MT)
"Coffee, Green",1998,Production,PE,Peru,316963440000,(MT)
"Coffee, Green",1998,Production,PN,Panama,41160000000,(MT)
"Coffee, Green",1998,Production,PP,Papua New Guinea,3636000000,(MT)
"Coffee, Green",1998,Production,RH,Zimbabwe,762540000,(MT)
"Coffee, Green",1998,Production,RP,Philippines,325942680000,(MT)
"Coffee, Green",1998,Production,RW,Rwanda,14400000,(MT)
"Coffee, Green",1998,Production,SL,Sierra Leone,88500000,(MT)
"Coffee, Green",1998,Production,TD,Trinidad and Tobago,9780000,(MT)
"Coffee, Green",1998,Production,TH,Thailand,127800000,(MT)
"Coffee, Green",1998,Production,TO,Togo,9000000,(MT)
"Coffee, Green",1998,Production,TZ,Tanzania,12000000,(MT)
"Coffee, Green",1998,Production,TZ,"Tanzania, United Republic of",7920000,(MT)
"Coffee, Green",1998,Production,UG,Uganda,76380000,(MT)
"Coffee, Green",1998,Production,US,United States,300000,(MT)
"Coffee, Green",1998,Production,VE,Venezuela,3600000,(MT)
"Coffee, Green",1998,Production,VM,Vietnam,4140000,(MT)
"Coffee, Green",1998,Production,YM,Yemen,28500000,(MT)
"Coffee, Green",1998,Production,ZA,Zambia,256320000,(MT)
"Coffee, Green",2021,Domestic Consumption,AG,Algeria,197460000,(MT)
"Coffee, Green",2021,Domestic Consumption,AO,Angola,162420000,(MT)
"Coffee, Green",2021,Domestic Consumption,AR,Argentina,13920000,(MT)
"Coffee, Green",2021,Domestic Consumption,AS,Australia,31200000,(MT)
"Coffee, Green",2021,Domestic Consumption,BL,Bolivia,265080000,(MT)
"Coffee, Green",2021,Domestic Consumption,BR,Brazil,676980000,(MT)
"Coffee, Green",2021,Domestic Consumption,BY,Burundi,588000000,(MT)
"Coffee, Green",2021,Domestic Consumption,CA,Canada,178500000,(MT)
"Coffee, Green",2021,Domestic Consumption,CE,Sri Lanka,3000000,(MT)
"Coffee, Green",2021,Domestic Consumption,CF,Congo (Brazzaville),11640000,(MT)
"Coffee, Green",2021,Domestic Consumption,CG,Congo (Kinshasa),13740000,(MT)
"Coffee, Green",2021,Domestic Consumption,CH,China,450300000,(MT)
"Coffee, Green",2021,Domestic Consumption,CI,Chile,651180000,(MT)
"Coffee, Green",2021,Domestic Consumption,CM,Cameroon,100800000,(MT)
"Coffee, Green",2021,Domestic Consumption,CO,Colombia,158760000,(MT)
"Coffee, Green",2021,Domestic Consumption,CS,Costa Rica,216000000,(MT)
"Coffee, Green",2021,Domestic Consumption,CT,Central African Republic,79980000,(MT)
"Coffee, Green",2021,Domestic Consumption,CU,Cuba,18060000,(MT)
"Coffee, Green",2021,Domestic Consumption,DM,Benin,12960000,(MT)
"Coffee, Green",2021,Domestic Consumption,DR,Dominican Republic,218340000,(MT)
"Coffee, Green",2021,Domestic Consumption,E4,European Union,51000000,(MT)
"Coffee, Green",2021,Domestic Consumption,EC,Ecuador,654000000,(MT)
"Coffee, Green",2021,Domestic Consumption,EG,Egypt,922500000,(MT)
"Coffee, Green",2021,Domestic Consumption,EK,Equatorial Guinea,3420000,(MT)
"Coffee, Green",2021,Domestic Consumption,ES,El Salvador,40800000,(MT)
"Coffee, Green",2021,Domestic Consumption,ET,Ethiopia,15000000,(MT)
"Coffee, Green",2021,Domestic Consumption,GB,Gabon,1152000000,(MT)
"Coffee, Green",2021,Domestic Consumption,GH,Ghana,128820000,(MT)
"Coffee, Green",2021,Domestic Consumption,GT,Guatemala,504900000,(MT)
"Coffee, Green",2021,Domestic Consumption,GU,Guinea,2119440000,(MT)
"Coffee, Green",2021,Domestic Consumption,GY,Guyana,20760000,(MT)
"Coffee, Green",2021,Domestic Consumption,HA,Haiti,242400000,(MT)
"Coffee, Green",2021,Domestic Consumption,HO,Honduras,28500000,(MT)
"Coffee, Green",2021,Domestic Consumption,HR,Croatia,332700000,(MT)
"Coffee, Green",2021,Domestic Consumption,ID,Indonesia,129000000,(MT)
"Coffee, Green",2021,Domestic Consumption,IN,India,48000000,(MT)
"Coffee, Green",2021,Domestic Consumption,IR,Iran,5460000,(MT)
"Coffee, Green",2021,Domestic Consumption,IV,Cote d'Ivoire,986160000,(MT)
"Coffee, Green",2021,Domestic Consumption,JA,Japan,34080000,(MT)
"Coffee, Green",2021,Domestic Consumption,JM,Jamaica,244800000,(MT)
"Coffee, Green",2021,Domestic Consumption,JO,Jordan,24300000,(MT)
"Coffee, Green",2021,Domestic Consumption,KE,Kenya,122400000,(MT)
"Coffee, Green",2021,Domestic Consumption,KS,"Korea, South",2340000,(MT)
"Coffee, Green",2021,Domestic Consumption,KZ,Kazakhstan,143040000,(MT)
"Coffee, Green",2021,Domestic Consumption,LA,Laos,124980000,(MT)
"Coffee, Green",2021,Domestic Consumption,LI,Liberia,94980000,(MT)
"Coffee, Green",2021,Domestic Consumption,MA,Madagascar,240000,(MT)
"Coffee, Green",2021,Domestic Consumption,MI,Malawi,3000000,(MT)
"Coffee, Green",2021,Domestic Consumption,MO,Morocco,63900000,(MT)
"Coffee, Green",2021,Domestic Consumption,MX,Mexico,16740000,(MT)
"Coffee, Green",2021,Domestic Consumption,MY,Malaysia,1067340000,(MT)
"Coffee, Green",2021,Domestic Consumption,NC,New Caledonia,6300000,(MT)
"Coffee, Green",2021,Domestic Consumption,NI,Nigeria,257100000,(MT)
"Coffee, Green",2021,Domestic Consumption,NO,Norway,302400000,(MT)
"Coffee, Green",2021,Domestic Consumption,NU,Nicaragua,168000000,(MT)
"Coffee, Green",2021,Domestic Consumption,NZ,New Zealand,15000000,(MT)
"Coffee, Green",2021,Domestic Consumption,PA,Paraguay,480000,(MT)
"Coffee, Green",2021,Domestic Consumption,PE,Peru,6835200000,(MT)
"Coffee, Green",2021,Domestic Consumption,PN,Panama,2880000,(MT)
"Coffee, Green",2021,Domestic Consumption,PP,Papua New Guinea,61680000,(MT)
"Coffee, Green",2021,Domestic Consumption,RB,Serbia,57000000,(MT)
"Coffee, Green",2021,Domestic Consumption,RH,Zimbabwe,4800000,(MT)
"Coffee, Green",2021,Domestic Consumption,RP,Philippines,15900000,(MT)
"Coffee, Green",2021,Domestic Consumption,RS,Russia,94200000,(MT)
"Coffee, Green",2021,Domestic Consumption,RW,Rwanda,124920000,(MT)
"Coffee, Green",2021,Domestic Consumption,SA,Saudi Arabia,25800000,(MT)
"Coffee, Green",2021,Domestic Consumption,SF,South Africa,76140000,(MT)
"Coffee, Green",2021,Domestic Consumption,SL,Sierra Leone,598260000,(MT)
"Coffee, Green",2021,Domestic Consumption,SN,Singapore,8100000,(MT)
"Coffee, Green",2021,Domestic Consumption,SZ,Switzerland,13080000,(MT)
"Coffee, Green",2021,Domestic Consumption,TD,Trinidad and Tobago,5940000,(MT)
"Coffee, Green",2021,Domestic Consumption,TH,Thailand,1200000,(MT)
"Coffee, Green",2021,Domestic Consumption,TO,Togo,109200000,(MT)
"Coffee, Green",2021,Domestic Consumption,TU,Turkey,119520000,(MT)
"Coffee, Green",2021,Domestic Consumption,TW,Taiwan,2314680000,(MT)
"Coffee, Green",2021,Domestic Consumption,TZ,Tanzania,64740000,(MT)
"Coffee, Green",2021,Domestic Consumption,UG,Uganda,575520000,(MT)
"Coffee, Green",2021,Domestic Consumption,UK,United Kingdom,174000000,(MT)
"Coffee, Green",2021,Domestic Consumption,UP,Ukraine,5100000,(MT)
"Coffee, Green",2021,Domestic Consumption,US,United States,220800000,(MT)
"Coffee, Green",2021,Domestic Consumption,VE,Venezuela,13320000,(MT)
"Coffee, Green",2021,Domestic Consumption,VM,Vietnam,31980000,(MT)
"Coffee, Green",2021,Domestic Consumption,YM,Yemen,60240000,(MT)
"Coffee, Green",2021,Domestic Consumption,ZA,Zambia,4500000,(MT)
"Coffee, Green",2021,Exports,AG,Algeria,133140000,(MT)
"Coffee, Green",2021,Exports,AO,Angola,445500000,(MT)
"Coffee, Green",2021,Exports,AR,Argentina,82800000,(MT)
"Coffee, Green",2021,Exports,AS,Australia,106500000,(MT)
"Coffee, Green",2021,Exports,BL,Bolivia,390000000,(MT)
"Coffee, Green",2021,Exports,BR,Brazil,436980000,(MT)
"Coffee, Green",2021,Exports,BY,Burundi,372000000,(MT)
"Coffee, Green",2021,Exports,CA,Canada,295260000,(MT)
"Coffee, Green",2021,Exports,CE,Sri Lanka,300000,(MT)
"Coffee, Green",2021,Exports,CF,Congo (Brazzaville),101580000,(MT)
"Coffee, Green",2021,Exports,CG,Congo (Kinshasa),8100000,(MT)
"Coffee, Green",2021,Exports,CH,China,450300000,(MT)
"Coffee, Green",2021,Exports,CI,Chile,12900000,(MT)
"Coffee, Green",2021,Exports,CM,Cameroon,351180000,(MT)
"Coffee, Green",2021,Exports,CO,Colombia,120000000,(MT)
"Coffee, Green",2021,Exports,CS,Costa Rica,67560000,(MT)
"Coffee, Green",2021,Exports,CT,Central African Republic,79980000,(MT)
"Coffee, Green",2021,Exports,CU,Cuba,436200000,(MT)
"Coffee, Green",2021,Exports,DM,Benin,12960000,(MT)
"Coffee, Green",2021,Exports,DR,Dominican Republic,431700000,(MT)
"Coffee, Green",2021,Exports,E4,European Union,171000000,(MT)
"Coffee, Green",2021,Exports,EC,Ecuador,4380000,(MT)
"Coffee, Green",2021,Exports,EG,Egypt,1067460000,(MT)
"Coffee, Green",2021,Exports,EK,Equatorial Guinea,3420000,(MT)
"Coffee, Green",2021,Exports,ES,El Salvador,40800000,(MT)
"Coffee, Green",2021,Exports,ET,Ethiopia,144000000,(MT)
"Coffee, Green",2021,Exports,GB,Gabon,1410000000,(MT)
"Coffee, Green",2021,Exports,GH,Ghana,2257680000,(MT)
"Coffee, Green",2021,Exports,GT,Guatemala,117960000,(MT)
"Coffee, Green",2021,Exports,GU,Guinea,2119440000,(MT)
"Coffee, Green",2021,Exports,GY,Guyana,20760000,(MT)
"Coffee, Green",2021,Exports,HA,Haiti,68280000,(MT)
"Coffee, Green",2021,Exports,HO,Honduras,28500000,(MT)
"Coffee, Green",2021,Exports,HR,Croatia,214020000,(MT)
"Coffee, Green",2021,Exports,ID,Indonesia,72720000,(MT)
"Coffee, Green",2021,Exports,IN,India,17520000,(MT)
"Coffee, Green",2021,Exports,IR,Iran,279060000,(MT)
"Coffee, Green",2021,Exports,IV,Cote d'Ivoire,526560000,(MT)
"Coffee, Green",2021,Exports,JA,Japan,56460000,(MT)
"Coffee, Green",2021,Exports,JM,Jamaica,541740000,(MT)
"Coffee, Green",2021,Exports,JO,Jordan,97500000,(MT)
"Coffee, Green",2021,Exports,KE,Kenya,155040000,(MT)
"Coffee, Green",2021,Exports,KS,"Korea, South",2340000,(MT)
"Coffee, Green",2021,Exports,KZ,Kazakhstan,61920000,(MT)
"Coffee, Green",2021,Exports,LA,Laos,471480000,(MT)
"Coffee, Green",2021,Exports,LI,Liberia,257100,(MT)
"Coffee, Green",2021,Exports,MA,Madagascar,1080000,(MT)
"Coffee, Green",2021,Exports,MI,Malawi,3000000,(MT)
"Coffee, Green",2021,Exports,MO,Morocco,75000000,(MT)
"Coffee, Green",2021,Exports,MX,Mexico,114000000,(MT)
"Coffee, Green",2021,Exports,MY,Malaysia,1525740000,(MT)
"Coffee, Green",2021,Exports,NC,New Caledonia,10320000,(MT)
"Coffee, Green",2021,Exports,NI,Nigeria,27000000,(MT)
"Coffee, Green",2021,Exports,NO,Norway,449040000,(MT)
"Coffee, Green",2021,Exports,NU,Nicaragua,174300000,(MT)
"Coffee, Green",2021,Exports,NZ,New Zealand,153240000,(MT)
"Coffee, Green",2021,Exports,PA,Paraguay,9000000,(MT)
"Coffee, Green",2021,Exports,PE,Peru,7372620000,(MT)
"Coffee, Green",2021,Exports,PN,Panama,15000000,(MT)
"Coffee, Green",2021,Exports,PP,Papua New Guinea,15000000,(MT)
"Coffee, Green",2021,Exports,RB,Serbia,180000000,(MT)
"Coffee, Green",2021,Exports,RH,Zimbabwe,181920000,(MT)
"Coffee, Green",2021,Exports,RP,Philippines,7977240000,(MT)
"Coffee, Green",2021,Exports,RS,Russia,153000000,(MT)
"Coffee, Green",2021,Exports,RW,Rwanda,108000000,(MT)
"Coffee, Green",2021,Exports,SA,Saudi Arabia,72000000,(MT)
"Coffee, Green",2021,Exports,SF,South Africa,76140000,(MT)
"Coffee, Green",2021,Exports,SL,Sierra Leone,297000000,(MT)
"Coffee, Green",2021,Exports,SN,Singapore,304020000,(MT)
"Coffee, Green",2021,Exports,SZ,Switzerland,81060000,(MT)
"Coffee, Green",2021,Exports,TD,Trinidad and Tobago,62100000,(MT)
"Coffee, Green",2021,Exports,TH,Thailand,3300000,(MT)
"Coffee, Green",2021,Exports,TO,Togo,2459460000,(MT)
"Coffee, Green",2021,Exports,TU,Turkey,438000000,(MT)
"Coffee, Green",2021,Exports,TW,Taiwan,310440000,(MT)
"Coffee, Green",2021,Exports,TZ,Tanzania,83940000,(MT)
"Coffee, Green",2021,Exports,UG,Uganda,221220000,(MT)
"Coffee, Green",2021,Exports,UK,United Kingdom,8280000,(MT)
"Coffee, Green",2021,Exports,UP,Ukraine,42900000,(MT)
"Coffee, Green",2021,Exports,US,United States,559920000,(MT)
"Coffee, Green",2021,Exports,VE,Venezuela,68820000,(MT)
"Coffee, Green",2021,Exports,VM,Vietnam,77580000,(MT)
"Coffee, Green",2021,Exports,YM,Yemen,81300000,(MT)
"Coffee, Green",2021,Exports,ZA,Zambia,15180000,(MT)
"Coffee, Green",2021,Imports,AG,Algeria,688440000,(MT)
"Coffee, Green",2021,Imports,AO,Angola,3863700000,(MT)
"Coffee, Green",2021,Imports,AR,Argentina,30120000,(MT)
"Coffee, Green",2021,Imports,AS,Australia,106500000,(MT)
"Coffee, Green",2021,Imports,BL,Bolivia,84000000,(MT)
"Coffee, Green",2021,Imports,BR,Brazil,195720000,(MT)
"Coffee, Green",2021,Imports,BY,Burundi,510000000,(MT)
"Coffee, Green",2021,Imports,CA,Canada,47700000,(MT)
"Coffee, Green",2021,Imports,CE,Sri Lanka,77700000,(MT)
"Coffee, Green",2021,Imports,CF,Congo (Brazzaville),101580000,(MT)
"Coffee, Green",2021,Imports,CG,Congo (Kinshasa),18000000,(MT)
"Coffee, Green",2021,Imports,CH,China,402660000,(MT)
"Coffee, Green",2021,Imports,CI,Chile,669300000,(MT)
"Coffee, Green",2021,Imports,CM,Cameroon,102000000,(MT)
"Coffee, Green",2021,Imports,CO,Colombia,108000000,(MT)
"Coffee, Green",2021,Imports,CS,Costa Rica,408000000,(MT)
"Coffee, Green",2021,Imports,CT,Central African Republic,72000000,(MT)
"Coffee, Green",2021,Imports,CU,Cuba,58320000,(MT)
"Coffee, Green",2021,Imports,DM,Benin,17580000,(MT)
"Coffee, Green",2021,Imports,DR,Dominican Republic,459300000,(MT)
"Coffee, Green",2021,Imports,E4,European Union,126000000,(MT)
"Coffee, Green",2021,Imports,EC,Ecuador,40800000,(MT)
"Coffee, Green",2021,Imports,EG,Egypt,1067460000,(MT)
"Coffee, Green",2021,Imports,EK,Equatorial Guinea,3420000,(MT)
"Coffee, Green",2021,Imports,ES,El Salvador,6180000,(MT)
"Coffee, Green",2021,Imports,ET,Ethiopia,159000000,(MT)
"Coffee, Green",2021,Imports,GB,Gabon,762000000,(MT)
